ticker,date,price,price_change_pct,market_cap,avg_volume_3m,ma20,ma60,vol20_avg,vol60_avg,ma20_slope,up_volume_pct,return_60d_pct,early_run_warning,momentum_confirmations,eligible_3of4,momentum_details,pdufa_date,days_to_pdufa,pdufa_status,t60_date,t14_date,t60_active
CAPR,2026-09-13,8.37,0.84337,486623328,6393727,8.46,13.98,10960620.0,6579508.0,1.72,17.3,-70.05,False,2,False,✗ Price 8.37 <= MA20 8.46 | ✓ MA20 slope +1.72 | ✓ Vol20 10960620 > Vol60 6579508 | ✗ Up-vol 17.3% <= 50%,2026-11-22,69,ACTIVE,2026-09-23,2026-11-08,False
NTLA,2026-09-13,11.74,-1.59263,1645087232,4425862,12.58,13.13,3357020.0,4155605.0,-0.17,45.3,-22.76,False,0,False,✗ Price 11.74 <= MA20 12.58 | ✗ MA20 slope -0.17 | ✗ Vol20 3357020 <= Vol60 4155605 | ✗ Up-vol 45.3% <= 50%,2027-03-10,177,ACTIVE,2027-01-09,2027-02-24,False
AMLX,2026-09-13,31.62,-1.46463,3523196928,2478727,33.99,23.99,3759085.0,2492793.0,9.99,46.7,107.34,True,2,False,✗ Price 31.62 <= MA20 33.99 | ✓ MA20 slope +9.99 | ✓ Vol20 3759085 > Vol60 2492793 | ✗ Up-vol 46.7% <= 50%,2027-06-30,289,ACTIVE,2027-05-01,2027-06-16,False
GPCR,2026-09-13,38.66,-2.25031,2756838912,777896,47.79,49.52,930575.0,780052.0,-15.85,18.3,-14.09,False,0,False,✗ Price 38.66 <= MA20 47.79 | ✗ MA20 slope -15.85 | ✗ Vol20 930575 <= Vol60 780052 | ✗ Up-vol 18.3% <= 50%,N/A,N/A,N/A,N/A,N/A,False
INSM,2026-09-13,129.41,1.67348,28260751360,3076720,125.38,114.97,1823595.0,3059073.0,5.67,73.9,31.45,True,3,True,✓ Price 129.41 > MA20 125.38 | ✓ MA20 slope +5.67 | ✗ Vol20 1823595 <= Vol60 3059073 | ✓ Up-vol 73.9% > 50%,N/A,N/A,N/A,N/A,N/A,False
ARGX,2026-09-13,984.39,0.0355714,61217021952,312491,1014.13,925.28,277455.0,310608.0,133.1,46.6,10.33,False,1,False,✗ Price 984.39 <= MA20 1014.13 | ✓ MA20 slope +133.1 | ✗ Vol20 277455 <= Vol60 310608 | ✗ Up-vol 46.6% <= 50%,N/A,N/A,N/A,N/A,N/A,False
VEEV,2026-09-13,262.4,0.544096,42484879360,1990806,261.37,216.49,1766025.0,1985710.0,18.65,41.6,69.45,True,2,False,✓ Price 262.4 > MA20 261.37 | ✓ MA20 slope +18.65 | ✗ Vol20 1766025 <= Vol60 1985710 | ✗ Up-vol 41.6% <= 50%,N/A,N/A,N/A,N/A,N/A,False
NTRA,2026-09-13,328.93,0.855454,47413342208,1386590,325.94,289.42,1144170.0,1392877.0,19.0,60.0,45.26,True,3,True,✓ Price 328.93 > MA20 325.94 | ✓ MA20 slope +19.0 | ✗ Vol20 1144170 <= Vol60 1392877 | ✓ Up-vol 60.0% > 50%,N/A,N/A,N/A,N/A,N/A,False
ARWR,2026-09-13,82.85,0.108744,11702932480,2045738,86.11,83.63,1266545.0,2080050.0,-3.79,49.0,2.23,False,0,False,✗ Price 82.85 <= MA20 86.11 | ✗ MA20 slope -3.79 | ✗ Vol20 1266545 <= Vol60 2080050 | ✗ Up-vol 49.0% <= 50%,N/A,N/A,N/A,N/A,N/A,False
CRSP,2026-09-13,51.72,-1.03329,5000944128,1573743,56.39,53.72,1464010.0,1577337.0,-1.83,31.5,-2.58,False,0,False,✗ Price 51.72 <= MA20 56.39 | ✗ MA20 slope -1.83 | ✗ Vol20 1464010 <= Vol60 1577337 | ✗ Up-vol 31.5% <= 50%,N/A,N/A,N/A,N/A,N/A,False
CDNA,2026-09-13,50.26,0.479804,2600162048,1159243,49.07,39.85,1130555.0,1167195.0,4.94,69.9,114.05,True,3,True,✓ Price 50.26 > MA20 49.07 | ✓ MA20 slope +4.94 | ✗ Vol20 1130555 <= Vol60 1167195 | ✓ Up-vol 69.9% > 50%,N/A,N/A,N/A,N/A,N/A,False
